month,count,min,max,mean_temp,q1,median,q3
1,156,-0.3,11.8,6.045512820512821,4.7,5.95,7.225
2,142,1.9,18.1,7.466197183098592,5.5,7.05,9.225000000000001
3,155,3.6,19.5,11.40516129032258,8.7,11.4,14.1
4,150,7.6,23.0,15.307999999999998,12.825000000000001,15.1,18.075000000000003
5,155,12.7,25.4,19.358709677419355,17.7,19.7,21.3
6,150,16.6,30.8,23.023333333333333,21.4,22.8,24.6
7,155,19.3,32.3,27.00387096774194,25.3,27.4,29.15
8,155,19.3,31.7,28.445806451612906,27.5,28.9,29.85
9,150,18.5,29.9,24.832666666666668,22.424999999999997,24.85,27.65
10,155,11.2,26.5,18.45548387096774,15.95,18.2,21.0
11,150,7.6,22.3,14.052000000000001,11.925,13.7,15.975
12,155,2.7,17.0,8.123870967741937,6.5,8.1,9.45
